STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,355148,246.92
5011_1,355152,271.02
5011_1,355156,0
5011_1,355160,0
5011_1,355164,0
5011_1,355168,361.43
5011_1,355172,249.36
5011_1,355176,185.37
5011_1,355180,0
5011_1,355184,0
5011_1,355188,0
5011_1,355192,339.07
5011_1,355196,181.79
5011_1,355200,204.69
5011_1,355204,0
5011_1,355208,0
5011_1,355212,0
5011_1,355216,336.55
5011_1,355220,306.68
5011_1,355224,300.31
5011_1,355228,0
5011_1,355232,0
5011_1,355236,0
5011_1,355240,679.05
5011_1,355244,264.37
5011_1,355248,286.21
5011_1,355252,0
5011_1,355256,0
5011_1,355260,0
5011_1,355264,342.43
